id,pred_cb
0,0.9758805685809565
1,0.5285543614473317
2,0.9576842886176512
3,0.8652151226925664
4,0.9720563908084098
5,0.9507044854828354
6,0.9866160559012885
7,0.8971762722926538
8,0.9411960538324141
9,0.8175372418174748
10,0.851177861853109
11,0.9703023449768168
12,0.7220289900703339
13,0.986308050393895
14,0.007915503069798631
15,0.9766642405122781
16,0.982216298300647
17,0.02625502899800971
18,0.9035774806609145
19,0.9535628401583358
20,0.8040719939024901
21,0.9147575882661485
22,0.008732971391889022
23,0.8247378277274399
24,0.8866055421153857
25,0.9551532099841125
26,0.30234514092537
27,0.37772016151889126
28,0.9534797896906507
29,0.00922578231563655
30,0.8250373752268245
31,0.9864226303309628
32,0.9922077968023068
33,0.9917496666858862
34,0.4384279217402324
35,0.8734240873111163
36,0.004289194538221962
37,0.93857026666576
38,0.8909837096566072
39,0.8976120072341763
40,0.9052676679334535
41,0.032997114284389534
42,0.7203996638257931
43,0.9981514418591474
44,0.9950048146881544
45,0.7984357692092452
46,0.8863496609292303
47,0.007435225321133603
48,0.9263925425577381
49,0.9874669653816798
50,0.9307429027268863
51,0.942134156301524
52,0.8525671827147587
53,0.9883216613935809
54,0.9738191770655021
55,0.9925749682047336
56,0.3288622999641248
57,0.007882946351996533
58,0.9939597719712663
59,0.9976113094040046
60,0.970443484703091
61,0.9217960644605505
62,0.02683057163173459
63,0.7775764936364001
64,0.9443987960394298
65,0.9127111401683368
66,0.9377230235630121
67,0.9797969578647319
68,0.9029029165386407
69,0.8724067647641387
70,0.9044399469947554
71,0.9349280434642351
72,0.9885163950586228
73,0.9426097337100072
74,0.9898557813348993
75,0.8877244657015948
76,0.983098183980312
77,0.9611547681381505
78,0.25516122814322334
79,0.9618786966561784
80,0.9745979831840321
81,0.7966521521594213
82,0.9619726792207107
83,0.9753687821472695
84,0.9899702052382522
85,0.00447184123800111
86,0.9890127701147937
87,0.9247650126849507
88,0.9426742505235834
89,0.990087086915804
90,0.9624687952197941
91,0.9059268372823822
92,0.962551308846806
93,0.9749280993545802
94,0.7772000907886867
95,0.9993548391620435
96,0.9445599623778191
97,0.9951867042422338
98,0.03770409192268964
99,0.00700629709983745
100,0.8280788943853106
101,0.9977979109001239
102,0.8481749386383935
103,0.9635097119041992
104,0.9894401071354034
105,0.9721352155025603
106,0.9413485693328666
107,0.9445515703161016
108,0.9990515605344656
